"Product Title Only","Product Title Only"
"Product Title & Product Short Description","Product Title & Product Short Description"
"Product Short Description Only","Product Short Description Only"
"Product Title And Product Full Description","Product Title And Product Full Description"
"Product Full Description Only","Product Full Description Only"
"Posted to Facebook!","Posted to Facebook!"
"Maximum number of daily posts for Facebook reached!","Maximum number of daily posts for Facebook reached!"
"Tweeted to Twitter!","Tweeted to Twitter!"
"Maximum number of daily tweet for Twitter reached!","Maximum number of daily tweet for Twitter reached!"
"Posted to Google+ page!","Posted to Google+ page!"
"Maximum number of daily posts for Google+ reached!","Maximum number of daily posts for Google+ reached!"
"Pinned to Pinterest!","Pinned to Pinterest!"
"Maximum number of daily pins for Pinterest reached!","Maximum number of daily pins for Pinterest reached!"
"Default","Default"
"Cannot login! Please double check your data!","Cannot login! Please double check your data!"
"Please enter your facebook app info!","Please enter your facebook app info!"
"You have successfully authorized with facebook.","You have successfully authorized with facebook."
"Here is the list of your Pinterest board(s): ","Here is the list of your Pinterest board(s): "
"Use this board","Use this board"
"No board found! Please create a board.","No board found! Please create a board."
"Login error!","Login error!"
"Please check your data!","Please check your data!"
"Here is the list of your Facebook page(s): ","Here is the list of your Facebook page(s): "
"No page found! Please create a page.","No page found! Please create a page."
"Test tweet has been posted. Please check your twitter page.","Test tweet has been posted. Please check your twitter page."
"<strong style="color:red">Important: </strong>","<strong style="color:red">Important: </strong>"
"You will need to <a href="%s">click here</a> to authorize your access to facebook for the first time.","You will need to <a href="%s">click here</a> to authorize ssssyour access to facebook for the first time."

