"ID","ID"
"Program","Program"
"Lucky Draw Code","Lucky Draw Code"
"Customer","Customer"
"Is Prize","Is Prize"
"No","No"
"Yes","Yes"
"Create Time","Create Time"
"Expire Time","Expire Time"
"Status","Status"
"Credit","Credit"
"Spend on order","Spend on order"
"CSV","CSV"
"XML","XML"
"Change status","Change status"
"View Customer Detail","View Customer Detail"
"View Order Detail","View Order Detail"
"View Program Detail","View Program Detail"
"Lucky Draw Codes","Lucky Draw Codes"
"Description","Description"
"Award Image","Award Image"
"Recommend size: 297x305 pixel","Recommend size: 297x305 pixel"
"Short Description","Short Description"
"Term and Condition","Term and Condition"
"Program Detail","Program Detail"
"Name","Name"
"URL Key","URL Key"
"Program URL","Program URL"
"Store View","Store View"
"The current server time is","The current server time is"
"Start Time","Start Time"
"End Time","End Time"
"Number of digits in lucky draw code","Number of digits in lucky draw code"
"From 3 to 8 is recommended for the best display","From 3 to 8 is recommended for the best display"
"Minimum number of participants to draw","Minimum number of participants to draw"
"Auto draw after program ends","Auto draw after program ends"
"Prize Code","Prize Code"
"This code is used to auto-define the winner. Winner is the person owning the prize code or the code closest to it.","This code is used to auto-define the winner. Winner is the person owning the prize code or the code closest to it."
"Valid time of lucky draw code","Valid time of lucky draw code"
"A lucky code is redeemed for","A lucky code is redeemed for"
"The credit that a failed code received.","The credit that a failed code received."
"Created Time","Created Time"
"Program Information","Program Information"
"Pause","Pause"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Resume","Resume"
"Complete","Complete"
"Save And Continue Edit","Save And Continue Edit"
"Edit Program ","Edit Program "
"Add Program","Add Program"
"Program Name","Program Name"
"URL key","URL key"
"Min User","Min User"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Program Manager","Program Manager"
"winner","winner"
"Tried to generate lucky code 1000 times!","Tried to generate lucky code 1000 times!"
"Pending","Pending"
"Failed","Failed"
"Winned","Winned"
"Used","Used"
"Expired","Expired"
"Lucky Draw Discount","Lucky Draw Discount"
"Processing","Processing"
"Waiting Complete","Waiting Complete"
"Paused","Paused"
"Closed","Closed"
"Not enough user to complete this draw","Not enough user to complete this draw"
"Luckydraw","Luckydraw"
"Code Manager","Code Manager"
"Lucky Draw","Lucky Draw"
"Codes","Codes"
"Manage Program","Manage Program"
"New Program","New Program"
"Program News","Program News"
"Program does not exist","Program does not exist"
"Program was successfully saved","Program was successfully saved"
"Unable to find program to save","Unable to find program to save"
"Program was successfully deleted","Program was successfully deleted"
"Program was successfully paused","Program was successfully paused"
"Cannot pause this program","Cannot pause this program"
"Program was successfully resumed","Program was successfully resumed"
"Cannot resume this program","Cannot resume this program"
"Program was successfully closed","Program was successfully closed"
"Cannot close this program","Cannot close this program"
"Program was successfully completed","Program was successfully completed"
"Cannot complete this program","Cannot complete this program"
"Program was successfully redialed","Program was successfully redialed"
"Cannot redial for this program","Cannot redial for this program"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Lucky draw program is disabled or doesn","Lucky draw program is disabled or doesn"
"Cannot register for this program at this time!","Cannot register for this program at this time!"
"Please enter the correct captcha code!","Please enter the correct captcha code!"
"Customer with this email already existed. If it is your email, please log in to our system.","Customer with this email already existed. If it is your email, please log in to our system."
"Please enter a valid email to register!","Please enter a valid email to register!"
"You have played this program already!","You have played this program already!"
"No email address is available!","No email address is available!"
"Form data is not available!","Form data is not available!"
"No email has been sent.","No email has been sent."
"Manage Programs","Manage Programs"
"Settings","Settings"
"Allow Everything","Allow Everything"
"Manage programs","Manage programs"
"Lucky code email template sent to user when he registers","Lucky code email template sent to user when he registers"
"Lucky code email template sent to user when referral registers","Lucky code email template sent to user when referral registers"
"Lucky Draw Email template sent to winner","Lucky Draw Email template sent to winner"
"Lucky Draw Email template sent to admin","Lucky Draw Email template sent to admin"
"Lucky Draw Refer Friend template","Lucky Draw Refer Friend template"
"Magestore Extension","Magestore Extension"
"General Configuration","General Configuration"
"Enable to use failed code to check out","Enable to use failed code to check out"
"Refund lucky draw code when order status is","Refund lucky draw code when order status is"
"Enable to use captcha when registering","Enable to use captcha when registering"
"Refer Friend Configuration","Refer Friend Configuration"
"Refer Friend Description","Refer Friend Description"
"Default Invite Email Subject","Default Invite Email Subject"
"Default Invite Email Content","Default Invite Email Content"
"Yahoo Application ID","Yahoo Application ID"
"Yahoo Consumer Key","Yahoo Consumer Key"
"Yahoo Consumer Secret","Yahoo Consumer Secret"
"Google Consumer Key","Google Consumer Key"
"Google Consumer Secret","Google Consumer Secret"
"Default Shared Message","Default Shared Message"
"Facebook Application ID","Facebook Application ID"
"Facebook Application Secret","Facebook Application Secret"
"Email Configuration","Email Configuration"
"Send lucky code email to user when he registers","Send lucky code email to user when he registers"
"Send lucky code email to user when referral registers","Send lucky code email to user when referral registers"
"Send email to winner","Send email to winner"
"Send notification email to admin when program ends (or needs to be processed)","Send notification email to admin when program ends (or needs to be processed)"
"Admin's name","Admin's name"
"Admin's email","Admin's email"
"Sender","Sender"
"Email template sent to winner","Email template sent to winner"
"Email template sent to admin when program ends (or needs to be processed)","Email template sent to admin when program ends (or needs to be processed)"
"Refer Friend Email Template","Refer Friend Email Template"
"Used for sending invite email","Used for sending invite email"
"<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register to Yahoo</a>","<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register to Yahoo</a>"
"<a href="https://www.google.com/accounts/ManageDomains" target="_bank">Register to Google</a>","<a href="https://www.google.com/accounts/ManageDomains" target="_bank">Register to Google</a>"
"Used for posting on Facebook, Twitter","Used for posting on Facebook, Twitter"
"<a href="http://developers.facebook.com/setup/" target="_bank">Register</a>","<a href="http://developers.facebook.com/setup/" target="_bank">Register</a>"
"Select contacts to send email","Select contacts to send email"
"Select Contacts","Select Contacts"
"Wait for Start","Wait for Start"
"Time left to play","Time left to play"
"y","y"
"m","m"
"d","d"
"Refer to Friend","Refer to Friend"
